,date,team_1,team_1_score,team_2,team_2_score,field
56,4/19/1994,Penn State,6,Cornell,0,@Penn State
57,4/23/1994,Columbia,10,Cornell,5,@Cornell
58,4/23/1994,Columbia,8,Cornell,2,@Cornell
59,4/24/1994,Columbia,6,Cornell,3,@Cornell
60,4/24/1994,Columbia,7,Cornell,1,@Cornell
61,4/29/1994,Cornell,2,Princeton,1,@Princeton
62,4/29/1994,Princeton,3,Cornell,1,@Princeton
63,5/01/1994,Cornell,1,Princeton,0,@Princeton
64,5/01/1994,Princeton,11,Cornell,4,@Princeton
65,1/01/1995,Brown,8,Cornell,6,@Cornell
66,1/01/1995,Bucknell,7,Cornell,1,@Cornell
67,1/01/1995,Cornell,10,Ithaca,8,@Ithaca
68,1/01/1995,Cornell,11,Colgate,1,@Cornell
69,1/01/1995,Cornell,5,Brown,4,@Cornell
70,1/01/1995,Cornell,5,Bucknell,4,@Cornell
71,1/01/1995,Cornell,5,Yale,4,@Cornell
72,1/01/1995,Cornell,6,Colgate,5,@Cornell
73,1/01/1995,Cornell,7,Ithaca,5,@Ithaca
74,1/01/1995,Cornell,7,Portland State,6,@Neutral
75,1/01/1995,Cornell,8,Cortland,6,@Cortland
76,1/01/1995,Cornell,8,Dartmouth,4,@Dartmouth
77,1/01/1995,Cornell,9,Wagner,5,@Neutral
78,1/01/1995,Dartmouth,8,Cornell,6,@Dartmouth
79,1/01/1995,Ithaca,5,Cornell,2,@Cornell
80,1/01/1995,LeMoyne,3,Cornell,2,@LeMoyne
81,1/01/1995,LeMoyne,8,Cornell,7,@LeMoyne
82,1/01/1995,Rollins,4,Cornell,2,@Rollins
83,1/01/1995,Rollins,6,Cornell,5,@Rollins
84,1/01/1995,Yale,3,Cornell,2,@Cornell
85,3/19/1995,Akron,2,Cornell,0,@Neutral
86,3/20/1995,Akron,9,Cornell,5,@Neutral
87,3/23/1995,Cornell,10,Cleveland State,5,@Neutral
88,4/09/1995,Cornell,3,Harvard,2,@Harvard
89,4/09/1995,Cornell,7,Harvard,4,@Harvard
90,4/15/1995,Pennsylvania,6,Cornell,1,@Cornell
91,4/15/1995,Pennsylvania,9,Cornell,2,@Cornell
92,4/16/1995,Pennsylvania,12,Cornell,4,@Cornell
93,4/16/1995,Pennsylvania,7,Cornell,3,@Cornell
94,4/19/1995,Cornell,5,Penn State,4,@Cornell
95,4/19/1995,Penn State,11,Cornell,5,@Cornell
96,4/22/1995,Columbia,18,Cornell,11,@Columbia
97,4/22/1995,Cornell,13,Columbia,11,@Columbia
98,4/23/1995,Columbia,6,Cornell,5,@Columbia
99,4/23/1995,Cornell,13,Columbia,7,@Columbia
100,4/28/1995,Cornell,3,Princeton,0,@Princeton
101,4/28/1995,Princeton,4,Cornell,1,@Princeton
102,4/30/1995,Cornell,3,Princeton,2,@Princeton
103,4/30/1995,Cornell,5,Princeton,1,@Princeton
104,1/01/1996,Cornell,13,Colgate,6,@Colgate
105,1/01/1996,Cornell,5,Colgate,0,@Cornell
106,1/01/1996,Cornell,6,Colgate,4,@Colgate
107,1/01/1996,Cornell,7,Colgate,3,@Cornell
108,3/16/1996,San Francisco,13,Cornell,1,@neutral
109,3/16/1996,San Francisco,7,Cornell,1,@neutral
110,3/18/1996,San Jose State,9,Cornell,7,@San Jose State
111,3/19/1996,Pacific,25,Cornell,4,@neutral
112,3/20/1996,Pacific,18,Cornell,7,@neutral
113,3/21/1996,Pacific,23,Cornell,13,@neutral
114,4/05/1996,Cornell,6,Harvard,4,@neutral
115,4/05/1996,Harvard,3,Cornell,1,@Cornell
116,4/06/1996,Cornell,11,Dartmouth,5,@neutral
117,4/06/1996,Dartmouth,7,Cornell,6,@neutral
118,4/10/1996,Cornell,11,LeMoyne,4,@neutral
119,4/10/1996,LeMoyne,4,Cornell,0,@neutral
120,4/13/1996,Brown,5,Cornell,4,@neutral
121,4/13/1996,Cornell,8,Brown,2,@neutral
122,4/14/1996,Yale,4,Cornell,2,@neutral
123,4/14/1996,Yale,9,Cornell,4,@neutral
124,4/17/1996,Penn State,11,Cornell,6,@neutral
125,4/17/1996,Penn State,3,Cornell,2,@neutral
126,4/20/1996,Pennsylvania,3,Cornell,2,@neutral
127,4/20/1996,Pennsylvania,5,Cornell,4,@neutral
128,4/21/1996,Pennsylvania,4,Cornell,2,@neutral
129,4/21/1996,Pennsylvania,4,Cornell,3,@neutral
130,4/24/1996,Cornell,8,Lehigh,1,@neutral
131,4/24/1996,Lehigh,1,Cornell,0,@neutral
132,4/27/1996,Cornell,4,Columbia,1,@Cornell
133,4/27/1996,Cornell,8,Columbia,5,@Cornell
134,4/28/1996,Columbia,3,Cornell,1,@Cornell
135,4/28/1996,Cornell,4,Columbia,3,@Cornell
136,5/01/1996,Bucknell,6,Cornell,3,@Bucknell
137,5/01/1996,Cornell,18,Bucknell,3,@Bucknell
138,5/03/1996,Cornell,5,Princeton,2,@Cornell
139,5/03/1996,Princeton,6,Cornell,4,@Cornell
140,5/05/1996,Cornell,8,Princeton,2,@Princeton
141,5/05/1996,Princeton,3,Cornell,1,@Princeton
142,3/15/1997,Dallas Baptist,2,Cornell,1,@neutral
143,3/16/1997,Tarleton State,9,Cornell,6,@neutral
144,3/17/1997,Texas Christian,17,Cornell,1,@neutral
145,3/18/1997,Texas-Arlington,18,Cornell,5,@neutral
146,3/18/1997,Texas-Arlington,9,Cornell,2,@neutral
147,3/19/1997,Baylor,6,Cornell,5,@neutral
148,3/20/1997,Southwest Texas St,6,Cornell,1,@Southwest Texas
149,3/21/1997,Cornell,6,Sam Houston Sta,0,@neutral
150,3/28/1997,Cornell,11,Siena,3,@neutral
151,3/28/1997,Cornell,12,Siena,7,@neutral
152,3/29/1997,Cornell,7,Ithaca,6,@neutral
