2347641, 2020: Jersey is '2G'?

ACC
failure: Anthony Hickman (2123494) | season: 2019 (14781) | school: Mississippi St. (430)
failure: Basiel Williams (2123497) | season: 2019 (14781) | school: Mississippi St. (430)
failure: Jp Elkins (2123498) | season: 2019 (14781) | school: Mississippi St. (430)
failure: Christian Macleod (2123508) | season: 2019 (14781) | school: Mississippi St. (430)
failure: Hunter Blalock (2123513) | season: 2019 (14781) | school: Mississippi St. (430)
failure: Kaden Fowler (2124202) | season: 2019 (14781) | school: Georgia (257)
failure: Hunter Goodwin (2124206) | season: 2019 (14781) | school: Georgia (257)
failure: Riley Crean (2124208) | season: 2019 (14781) | school: Georgia (257)
failure: Garrett Brown (2124209) | season: 2019 (14781) | school: Georgia (257)
failure: Troy Bearden (2130576) | season: 2019 (14781) | school: Auburn (37)
failure: Dawson Sweatt (2130589) | season: 2019 (14781) | school: Auburn (37)
failure: Easton Mcmurray (2132624) | season: 2019 (14781) | school: LSU (365)
failure: Makenzie Stills (2137428) | season: 2019 (14781) | school: Vanderbilt (736)
failure: Luke Murphy (2137439) | season: 2019 (14781) | school: Vanderbilt (736)
failure: Tyrell Shavers (2137827) | season: 2019 (14781) | school: Alabama (8)
failure: Caleb Pearson (2139752) | season: 2019 (14781) | school: Tennessee (694)
failure: Matthew Ellis (2139753) | season: 2019 (14781) | school: Tennessee (694)
failure: Ryan Keenan (2309802) | season: 2020 (15204) | school: Vanderbilt (736)
failure: Michael Doolin (2309815) | season: 2020 (15204) | school: Vanderbilt (736)
failure: Brett Hansen (2485652) | season: 2021 (15580) | school: Vanderbilt (736)
failure: Ryan Stefiuk (2485671) | season: 2021 (15580) | school: Vanderbilt (736)
failure: Brooks Rice (2486625) | season: 2021 (15580) | school: LSU (365)

NE10
failure: Geoff Mccowat (988961) | season: 2013 (11320) | school: American Int'l (22)
failure: Tim Bailey (988965) | season: 2013 (11320) | school: American Int'l (22)
failure: Chris Pabisch (997155) | season: 2013 (11320) | school: Adelphi (3)
failure: A.J. Rouleau (998011) | season: 2013 (11320) | school: Southern Conn. St. (658)
failure: Rob Blanc (1109332) | season: 2013 (11320) | school: Franklin Pierce (241)
failure: Brenden Mcnaught (1318722) | season: 2013 (11320) | school: Franklin Pierce (241)
failure: Kenny Michael (1659131) | season: 2015 (12080) | school: Southern N.H. (468)
failure: Mike Pineda-O'Donnell (1659134) | season: 2015 (12080) | school: Southern N.H. (468)
failure: Daniel Amidon (1763550) | season: 2016 (12360) | school: Merrimack (410)
failure: Tyler Orris (1778685) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Jeremy Musser (1778687) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Chas Mccormick (1778688) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Dan Stoltzfus (1778689) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Mitch Stoltzfus (1778690) | season: 2016 (12360) | school: Saint Rose (1347)
failure: David Summerfield (1778691) | season: 2016 (12360) | school: Saint Rose (1347)
failure: John Brogan (1778692) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Aaron Taylor (1778693) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Ted Williams (1778694) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Reid Anderson (1778695) | season: 2016 (12360) | school: Saint Rose (1347)
failure: Connor Gavin (1780462) | season: 2016 (12360) | school: Southern N.H. (468)
failure: Ryan Spagnoli (1782178) | season: 2016 (12360) | school: Southern N.H. (468)
failure: Dylan Sbordone (1783468) | season: 2016 (12360) | school: Southern N.H. (468)
failure: Nick Lavin (1863388) | season: 2017 (12560) | school: American Int'l (22)
failure: Ryan Bruning (1863389) | season: 2017 (12560) | school: American Int'l (22)
failure: Dean Streich (1863397) | season: 2017 (12560) | school: American Int'l (22)
failure: Gaetano Famiglietti (1871284) | season: 2017 (12560) | school: New Haven (470)
failure: Ben Curry (1881494) | season: 2017 (12560) | school: Assumption (36)
failure: Chhany Minton (1886186) | season: 2017 (12560) | school: Stonehill (682)
failure: Nathaniel Perkins (1886188) | season: 2017 (12560) | school: Stonehill (682)
failure: Brandon Jewer (1886189) | season: 2017 (12560) | school: Stonehill (682)
failure: Daniel Paul (1886216) | season: 2017 (12560) | school: Stonehill (682)
failure: Brandon Nevius (1886228) | season: 2017 (12560) | school: Stonehill (682)
failure: Chris Murphy (1886239) | season: 2017 (12560) | school: Stonehill (682)
failure: Troy Simpson (1890348) | season: 2017 (12560) | school: Adelphi (3)
failure: Thomas Sperino (1890746) | season: 2017 (12560) | school: Franklin Pierce (241)
failure: Miles Rimbaud (1890753) | season: 2017 (12560) | school: Franklin Pierce (241)
failure: Stephen Fleury (1890951) | season: 2017 (12560) | school: Merrimack (410)
failure: Connor Suech (1890954) | season: 2017 (12560) | school: Merrimack (410)
failure: Ryan Steffens (1891518) | season: 2017 (12560) | school: Southern N.H. (468)
failure: Aran Hamilton-Grenha (1891533) | season: 2017 (12560) | school: Stonehill (682)
failure: Nick Camilleri (1892131) | season: 2017 (12560) | school: Southern N.H. (468)
failure: Nick Artymowicz (1892299) | season: 2017 (12560) | school: Southern N.H. (468)
failure: Ethan Harris (1894740) | season: 2017 (12560) | school: Southern N.H. (468)
failure: Shane Reardon (1896739) | season: 2017 (12560) | school: Southern N.H. (468)
failure: Austin Cole (1982955) | season: 2018 (12973) | school: Adelphi (3)
failure: Jack Sheridan (1990149) | season: 2018 (12973) | school: Le Moyne (349)
failure: Patrick Webler (2000663) | season: 2018 (12973) | school: Southern Conn. St. (658)
failure: Cameron O'Toole (2000684) | season: 2018 (12973) | school: Southern Conn. St. (658)
failure: Michael Hughes (2001100) | season: 2018 (12973) | school: Saint Rose (1347)
failure: Shane O'Halloran (2002062) | season: 2018 (12973) | school: Stonehill (682)
failure: Tucker Hetherman (2002555) | season: 2018 (12973) | school: Southern N.H. (468)
failure: Matt Almonte (2005631) | season: 2018 (12973) | school: Pace (533)
failure: Greg Tsouprakos (2008829) | season: 2018 (12973) | school: Pace (533)
failure: Frank Celona (2009067) | season: 2018 (12973) | school: Franklin Pierce (241)
failure: Scott Thompson (2112594) | season: 2019 (14781) | school: Adelphi (3)
failure: Jordan Zeppieri (2112614) | season: 2019 (14781) | school: Adelphi (3)
failure: Mitchell Crory (2117127) | season: 2019 (14781) | school: Assumption (36)
