,index,Year,Team,GP,AB,H,BA,OBPct,TB,SlgPct,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,season_id,school_id,stats_player_seq,name,G,RBI2out,OPP DP
1800,2,2019-20,{'href': '/team/813/15204'},9,31,9,0.290,0.476,12,0.387,13,3,0,0,3,10,1,-,-,9,-,6,1,-,-,12973,813,1999856,Harry Hegeman,-,-,
1801,0,2017-18,{'href': '/team/813/12973'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999859,Jackson Bandow,-,-,
1802,1,2018-19,{'href': '/team/813/14781'},9,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999859,Jackson Bandow,-,-,
1803,2,2019-20,{'href': '/team/813/15204'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999859,Jackson Bandow,-,-,
1804,0,2017-18,{'href': '/team/813/12973'},4,4,1,0.250,0.400,1,0.250,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,12973,813,1999861,Jonathan Boulaphinh,-,-,
1805,1,2018-19,{'href': '/team/813/14781'},8,7,-,0.000,0.000,0,0.000,1,0,0,0,1,-,-,-,1,2,-,-,-,-,-,12973,813,1999861,Jonathan Boulaphinh,-,-,
1806,2,2019-20,{'href': '/team/813/15204'},2,2,-,0.000,0.000,0,0.000,-,0,0,0,-,-,-,-,-,1,-,-,-,-,-,12973,813,1999861,Jonathan Boulaphinh,-,-,
1807,0,2017-18,{'href': '/team/813/12973'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999863,Matthew Erickson,-,-,
1808,1,2018-19,{'href': '/team/813/14781'},10,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999863,Matthew Erickson,-,-,
1809,2,2019-20,{'href': '/team/813/15204'},4,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,813,1999863,Matthew Erickson,-,-,
1810,0,2017-18,{'href': '/team/813/12973'},36,91,30,0.330,0.410,41,0.451,18,3,1,2,5,11,2,1,4,35,2,1,1,-,-,12973,813,1999869,Teddy Hague,-,-,
1811,1,2018-19,{'href': '/team/813/14781'},19,36,13,0.361,0.400,16,0.444,4,0,0,1,7,3,-,1,1,7,-,1,3,-,-,12973,813,1999869,Teddy Hague,-,-,
1812,2,2019-20,{'href': '/team/813/15204'},10,44,16,0.364,0.404,29,0.659,5,3,2,2,10,3,-,-,-,6,-,2,-,-,-,12973,813,1999869,Teddy Hague,-,-,
1813,0,2017-18,{'href': '/team/813/12973'},13,31,5,0.161,0.257,7,0.226,4,-,1,-,1,2,2,-,-,10,1,-,-,-,-,12973,813,1999870,Cole Shelton,-,-,
1814,1,2018-19,{'href': '/team/813/14781'},15,32,7,0.219,0.324,9,0.281,4,2,0,0,1,3,2,-,-,7,1,-,-,-,-,12973,813,1999870,Cole Shelton,-,-,
1815,2,2019-20,{'href': '/team/813/15204'},8,10,2,0.200,0.333,2,0.200,-,0,0,0,-,1,1,-,-,3,-,-,1,-,-,12973,813,1999870,Cole Shelton,-,-,
1816,0,2017-18,{'href': '/team/813/12973'},22,63,17,0.270,0.343,22,0.349,10,5,0,0,10,6,1,-,-,18,-,1,-,-,-,12973,813,1999872,Cal Christofori,-,-,
1817,1,2018-19,{'href': '/team/813/14781'},26,74,18,0.243,0.330,19,0.257,4,1,0,0,10,11,-,3,2,12,1,-,-,-,-,12973,813,1999872,Cal Christofori,-,-,
1818,2,2019-20,{'href': '/team/813/15204'},8,25,6,0.240,0.387,6,0.240,4,0,0,0,1,5,1,-,-,6,-,-,-,-,-,12973,813,1999872,Cal Christofori,-,-,
1819,0,2017-18,{'href': '/team/275/12973'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,275,2005473,Chris Mcgrory,-,-,
1820,1,2018-19,{'href': '/team/275/14781'},4,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,275,2005473,Chris Mcgrory,-,-,
1821,2,2019-20,{'href': '/team/275/15204'},1,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,275,2005473,Chris Mcgrory,-,-,
